gene	label
ALDH4A1	False
ALDH5A1	
ALDH6A1	False
ALDH7A1	False
ALDH9A1	False
ALDOA	
ALDOB	
ALDOC	False
ALG1	
ALG10	False
ALG10B	False
ALG11	
ALG12	
ALG13	False
ALG14	
ALG2	
ALG3	
ALG5	False
ALG8	
ALG9	
ALK	True
ALKBH1	False
ALKBH2	False
ALKBH3	False
ALKBH4	False
ALKBH5	False
ALKBH6	
ALKBH7	False
ALKBH8	False
ALOX12	
ALOX15	
ALOX15B	False
ALOX5	
ALOX5AP	
ALOXE3	
ALPG	False
ALPI	False
ALPK1	
ALPL	
ALPP	False
ALS2	
ALS2CL	
ALX1	False
ALX3	False
ALX4	
ALYREF	
AMACR	False
AMBP	False
AMBRA1	
AMD1	False
AMDHD1	False
AMDHD2	False
AMER1	True
AMER3	False
AMFR	
AMH	
AMHR2	
AMIGO1	False
AMIGO2	False
AMIGO3	False
AMMECR1L	False
AMN	
AMN1	False
AMOT	
AMOTL1	
AMOTL2	False
AMPD1	False
AMPD2	False
AMPD3	False
AMPH	
AMT	
AMY1A	False
AMY1C	False
AMY2A	False
AMZ2	False
AMZ2P1	False
ANAPC1	False
ANAPC10	False
ANAPC11	False
ANAPC13	False
ANAPC15	False
ANAPC16	False
ANAPC2	False
ANAPC4	False
ANAPC5	False
ANAPC7	False
ANG	
ANGEL2	False
ANGPT1	
ANGPT2	False
ANGPT4	False
ANGPTL4	False
ANGPTL5	False
ANGPTL6	False
ANK1	True
ANK2	
ANK3	
ANKEF1	False
ANKFY1	False
ANKH	
ANKHD1	
ANKHD1-EIF4EBP3	False
ANKIB1	False
ANKLE1	False
ANKLE2	
ANKMY2	False
ANKRA2	False
ANKRD1	
ANKRD11	True
ANKRD12	
ANKRD13A	
ANKRD13B	False
ANKRD13C	False
ANKRD16	
ANKRD17	
ANKRD18A	
ANKRD2	False
ANKRD22	False
ANKRD23	False
ANKRD24	
ANKRD26	
ANKRD27	False
ANKRD28	False
ANKRD30BL	
ANKRD33B	False
ANKRD34C	False
ANKRD36	
ANKRD36B	False
ANKRD36BP1	False
ANKRD39	False
ANKRD44	
ANKRD45	False
ANKRD46	False
ANKRD52	False
ANKRD53	False
ANKRD54	False
ANKRD55	False
ANKRD6	False
ANKS1A	False
ANKS1B	False
ANKS3	False
ANKS4B	False
ANKZF1	False
ANLN	
ANO6	
ANOS1	
ANP32A	
ANP32B	
ANP32E	False
ANPEP	
ANTKMT	False
ANTXR1	
ANTXR2	
ANXA1	
ANXA11	False
ANXA2	
ANXA2P2	False
ANXA2R	False
ANXA3	False
ANXA4	False
ANXA5	
ANXA6	False
ANXA7	False
ANXA8	False
ANXA8L1	
ANXA9	False
AOC1	False
AOC2	False
AOC3	False
AOPEP	False
AOX1	
AP1B1	
AP1G1	False
AP1G2	False
AP1M1	False
AP1M2	False
AP1S1	
AP1S2	
AP1S3	False
AP2A1	
AP2A2	False
AP2B1	False
AP2M1	False
AP2S1	False
AP3B1	
AP3B2	False
AP3D1	
AP3M1	False
AP3M2	
AP3S1	False
AP3S2	False
AP4B1	False
AP4E1	
AP4M1	
AP4S1	False
AP5B1	False
AP5S1	False
AP5Z1	
APAF1	
APBA1	False
APBA2	False
APBA3	False
APBB1	False
APBB1IP	False
APBB2	False
APBB3	False
APC	True
APC2	
APCS	False
APEH	
APEX1	False
APEX2	False
APH1A	
API5	
APIP	False
APLF	False
APLP1	False
APLP2	False
APMAP	
APOA1	
APOA2	False
APOA4	False
APOB	
APOBEC1	False
APOBEC2	
APOBEC3A	False
APOBEC3B	True
APOBEC3C	False
APOBEC3D	False
APOBEC3F	False
APOBEC3G	False
APOBEC4	False
APOBR	
APOC1	False
APOC1P1	False
APOC2	
APOC3	False
APOD	False
APOE	
APOF	False
APOH	False
APOL1	
APOL2	
APOL4	False
APOL6	False
APOM	False
APOO	False
APP	
APPBP2	False
APPL1	
APPL2	False
APRT	False
APTX	
AQP1	False
AQP10	False
AQP11	False
AQP2	
AQP3	False
AQP4	
AQP4-AS1	False
AQP5	False
AQP8	False
AQR	False
AR	True
ARAF	True
ARAP1	False
ARAP2	
ARC	False
ARCN1	False
AREG	
AREL1	False
ARF1	
ARF3	False
ARF4	False
ARF5	False
ARF6	
ARFGAP1	False
ARFGAP2	False
ARFGAP3	False
ARFGEF1	False
ARFGEF2	
ARFIP1	False
ARFIP2	False
ARFRP1	
ARG1	
ARG2	False
ARGLU1	False
ARHGAP1	False
ARHGAP10	False
ARHGAP11A	False
ARHGAP15	False
ARHGAP17	False
ARHGAP18	False
ARHGAP19	False
ARHGAP20	
ARHGAP21	
ARHGAP22	False
ARHGAP23	False
ARHGAP24	
ARHGAP25	
ARHGAP26	True
ARHGAP27	False
ARHGAP29	False
ARHGAP31	
ARHGAP32	
ARHGAP33	False
ARHGAP35	True
ARHGAP39	False
ARHGAP4	
ARHGAP44	False
ARHGAP45	False
ARHGAP5	True
ARHGAP5-AS1	False
ARHGAP9	
ARHGDIA	False
ARHGDIB	False
ARHGDIG	False
ARHGEF1	
ARHGEF10	True
ARHGEF11	
ARHGEF12	True
ARHGEF15	False
ARHGEF16	False
ARHGEF17	False
ARHGEF18	
ARHGEF19	False
ARHGEF2	
ARHGEF25	
ARHGEF28	True
ARHGEF3	
ARHGEF39	False
ARHGEF4	
ARHGEF40	False
ARHGEF5	False
ARHGEF6	
ARHGEF7	False
ARHGEF9	False
ARID1A	True
ARID1B	True
ARID2	True
ARID3A	True
ARID3B	True
ARID4A	True
ARID4B	True
ARID5A	
ARID5B	True
ARIH1	
ARIH2	False
ARL1	False
ARL11	
ARL14	False
ARL14EP	False
ARL15	False
ARL16	False
ARL2	False
ARL2BP	False
ARL3	False
ARL4A	False
ARL4D	False
ARL5A	False
ARL6	
ARL6IP1	False
ARL6IP4	False
ARL6IP5	False
ARL6IP6	False
ARL8B	False
ARMC10	False
ARMC12	False
ARMC5	False
ARMC6	False
ARMC7	False
ARMC8	False
ARMC9	False
ARMCX2	
ARMCX3	
ARMH1	False
ARMH3	
ARMT1	False
ARNT	True
ARNT2	
ARNTL	
ARNTL2	False
ARPC1A	False
ARPC1B	
ARPC2	False
ARPC3	False
ARPC3P1	False
ARPC4	False
ARPC5	False
ARPC5L	False
ARPP19	False
ARR3	False
ARRB1	False
ARRB2	False
ARRDC1	False
ARRDC1-AS1	False
ARRDC2	False
ARRDC3	False
ARRDC4	False
ARRDC5	
ARSB	
ARSG	False
ARSK	False
ARSL	
ART4	False
ARTN	False
ARV1	False
ARVCF	False
ARX	
ASAH1	
ASAP1	
ASAP2	
ASAP3	False
ASB1	False
ASB12	False
ASB13	False
ASB2	False
ASB3	False
ASB4	False
ASB6	False
ASB7	False
ASB8	False
ASB9	
ASCC1	
ASCC2	
ASCC3	
ASCL1	
ASCL2	False
ASCL3	False
ASCL4	False
ASF1A	False
ASF1B	False
ASGR1	False
ASGR2	False
ASH1L	
ASH2L	
ASIC1	False
ASIC2	False
ASIC3	False
ASIC4	False
ASL	
ASMT	False
ASMTL	
ASMTL-AS1	False
ASNS	
ASNSD1	False
ASPA	
ASPG	False
ASPH	False
ASPHD1	
ASPHD2	False
ASPM	
ASPRV1	False
ASPSCR1	True
ASRGL1	False
ASS1	
ASTE1	False
ASTL	False
ASTN2	
ASXL1	True
ASXL2	True
ATAD1	False
ATAD2	
ATAD2B	False
ATAD3A	False
ATAD3B	
ATAD5	False
ATE1	False
ATF1	True
ATF2	
ATF3	
ATF4	
ATF5	
ATF6	False
ATF6B	False
ATF7	False
ATF7IP	
ATF7IP2	False
ATG10	
ATG101	False
ATG12	
ATG13	
ATG14	
ATG16L1	
ATG16L2	False
ATG2A	
ATG2B	
ATG3	
ATG4B	
ATG4C	False
ATG4D	False
ATG5	
ATG7	
ATG9A	False
ATIC	True
ATL1	
ATL2	False
ATL3	False
ATM	True
ATMIN	
ATN1	
ATOH1	False
ATOH7	
ATOH8	False
ATOX1	False
ATP11B	False
ATP12A	False
ATP13A1	False
ATP13A2	
ATP13A3	False
ATP1A1	True
ATP1B1	False
ATP1B3	False
ATP23	False
ATP2A1	False
ATP2A2	
ATP2A3	False
ATP2B1	False
ATP2B2	False
ATP2B3	True
ATP2B4	
ATP5F1A	False
ATP5F1B	
ATP5F1C	False
ATP5F1D	False
ATP5IF1	False
ATP5MC1	False
ATP5MC2	False
ATP5MC3	False
ATP5ME	False
ATP5MF	False
ATP5MG	False
ATP5MJ	
ATP5MK	False
ATP5PB	False
ATP5PD	
ATP5PF	False
ATP5PO	False
ATP6AP1	
ATP6AP2	
ATP6V0A4	
ATP6V0B	
ATP6V0C	False
ATP6V0D1	False
ATP6V0E1	
ATP6V0E2	False
ATP6V1B1	
ATP6V1B2	True
ATP6V1C1	False
ATP6V1D	False
ATP6V1E1	False
ATP6V1F	False
ATP6V1G1	False
ATP6V1G2	
ATP6V1H	False
ATP7A	
ATP7B	
ATP8B2	
ATP9B	False
ATPAF1	False
ATPAF2	False
ATPSCKMT	False
ATR	True
ATRAID	False
ATRIP	False
ATRN	False
ATRNL1	False
ATRX	True
ATXN1	
ATXN10	
ATXN1L	False
ATXN2	True
ATXN2L	False
ATXN3	
ATXN7	True
ATXN7L2	False
ATXN7L3	False
ATXN7L3B	False
AUH	
AUNIP	False
AUP1	False
AURKA	True
AURKAIP1	False
AURKB	True
AURKC	False
AVEN	
AVIL	False
AVP	
AVPI1	
AVPR1A	False
AVPR1B	False
AVPR2	
AXDND1	False
AXIN1	True
AXIN2	True
AXL	True
AZGP1	
AZI2	
AZIN1	
AZIN2	False
B2M	True
B3GALNT2	False
B3GALT1	False
B3GALT4	False
B3GALT6	
B3GAT3	False
B3GLCT	
B3GNT2	
B3GNTL1	False
B4GALNT1	False
B4GALNT3	False
B4GALT1	
B4GALT2	False
B4GALT3	
B4GALT6	False
B4GAT1	False
B9D1	False
B9D2	False
BAALC	
BAAT	False
BABAM1	
BABAM2	
BACE1	False
BACE2	False
BACH1	
BACH2	True
BAD	
BAG1	
BAG2	False
BAG3	
BAG4	
BAG5	False
BAG6	False
BAGE	False
BAGE2	
BAGE3	False
BAGE4	False
BAGE5	False
BAHCC1	False
BAHD1	False
BAIAP2	False
BAIAP2L1	False
BAIAP3	
BAK1	
BAMBI	False
BANF1	False
BANF2	
BANK1	
BANP	False
BAP1	True
BARD1	True
BARHL1	False
BARHL2	False
BARX1	False
BASP1	False
BASP1-AS1	False
BATF	
BATF2	
BATF3	
BAX	True
BAZ1A	True
BAZ1B	False
BAZ2A	
BAZ2B	
BBC3	True
BBLN	False
BBOF1	False
BBOX1	False
BBS1	
BBS10	
BBS2	
BBS4	
BBX	
BCAM	False
BCAN	False
BCAP29	False
BCAP31	False
BCAR1	
BCAR3	False
BCAS1	False
BCAS2	False
BCAS3	
BCAS4	
BCAT1	False
BCAT2	False
BCCIP	False
BCDIN3D	False
BCHE	False
BCKDHA	
BCKDHB	
BCKDK	False
BCL10	True
BCL11A	True
BCL11B	True
BCL2	True
BCL2A1	
BCL2L1	
BCL2L10	
BCL2L11	True
BCL2L12	True
BCL2L13	False
BCL2L14	
BCL2L2	
BCL3	True
BCL6	True
BCL6B	False
BCL7A	True
BCL7B	
BCL7C	False
BCL9	True
BCL9L	True
BCLAF1	True
BCO1	
BCO2	False
BCOR	True
BCORL1	True
BCR	True
BCS1L	False
BDH1	False
BDH2	False
BDKRB1	
BDKRB2	
BDNF	
BDNF-AS	False
BDP1	False
BECN1	
BEGAIN	False
BEND3	False
BEND5	False
BEND6	False
BEND7	False
BEST1	
BEST3	False
BET1	False
BET1L	False
BEX1	
BEX2	
BEX3	
BFAR	False
BFSP1	False
BGN	
BHLHA15	False
BHLHB9	False
BHLHE22	False
BHLHE23	False
BHLHE40	False
BHLHE41	
BHMT	False
BICD1	False
BICD2	False
BICDL1	False
BICDL2	False
BICRA	
BICRAL	False
BID	
BIK	False
BIN1	
BIN2	False
BIN3	False
BIRC2	
BIRC3	True
BIRC5	
BIRC6	True
BIRC7	
BIRC8	
BLCAP	
BLID	False
BLK	
BLM	True
BLMH	False
BLNK	
BLOC1S1	False
BLOC1S2	False
BLOC1S3	
BLOC1S4	False
BLOC1S5	False
BLOC1S6	
BLVRA	
BLVRB	False
BLZF1	False
BMERB1	False
BMF	
BMI1	
BMP1	False
BMP15	
BMP2	
BMP2K	
BMP4	
BMP5	True
BMP6	False
BMP7	
BMP8B	False
BMPR1A	True
BMPR1B	False
BMPR2	
BMS1	False
BMS1P4	False
BMT2	False
BMX	False
BNC1	False
BNIP1	False
BNIP2	False
BNIP3	
BNIP3L	
BNIPL	False
BOC	
BOD1	
BOD1L1	False
BOK	
BOK-AS1	False
BOLA1	False
BOLA3	False
BOLL	False
BOP1	
BORA	
BORCS5	False
BORCS6	False
BPGM	False
BPIFA1	False
BPIFA3	False
BPIFB2	False
BPIFB3	False
BPNT1	False
BPTF	
BPY2	False
BRAF	True
BRAP	False
BRAT1	
BRCA1	True
BRCA2	True
BRCC3	
BRD1	False
BRD2	
BRD3	True
BRD3OS	False
BRD4	True
BRD7	
BRD8	
BRD9	False
BRF1	False
BRF2	False
BRI3BP	False
BRINP1	False
BRINP2	False
BRINP3	
BRIP1	True
BRIX1	
BRME1	False
BRMS1	
BRMS1L	False
BROX	False
BRPF1	
BRPF3	
BRSK1	
BRSK2	False
BRWD1	False
BRWD3	
BSCL2	
BSDC1	False
BSG	False
BSN	
BSND	
BST1	False
BST2	False
BSX	False
BTAF1	False
BTBD1	False
BTBD10	False
BTBD17	False
BTBD19	
BTBD2	False
BTBD8	False
BTBD9	
BTC	
BTD	
BTF3	False
BTG1	True
BTG2	
BTG3	False
BTG4	False
BTK	True
BTLA	
BTN1A1	False
BTN2A1	False
BTN2A2	False
BTN2A3P	False
BTN3A1	False
BTN3A2	
BTN3A3	False
BTNL2	
BTRC	
BUB1	
BUB1B	True
BUB3	False
BUD23	
BUD31	False
BYSL	
BZW1	False
BZW1P2	False
BZW2	False
C10orf62	False
C10orf71	False
C10orf82	False
C10orf88	False
C10orf90	
C11orf1	False
C11orf16	False
C11orf21	False
C11orf49	
C11orf54	False
C11orf58	False
C11orf65	False
C11orf68	False
C11orf71	False
C11orf80	False
C11orf86	False
C11orf91	False
C11orf98	False
C12orf43	False
C12orf57	False
C12orf71	False
C12orf73	False
C14orf119	False
C14orf181	False
C14orf28	False
C15orf39	False
C15orf40	False
C15orf48	
C15orf62	False
C16orf54	False
C16orf72	False
C16orf74	False
C16orf86	False
C17orf49	False
C17orf64	False
C17orf78	False
C17orf80	False
C17orf97	False
C17orf99	False
C18orf21	False
C18orf25	False
C18orf32	False
C18orf54	False
C19orf12	False
C19orf18	False
C19orf25	False
C19orf33	False
C19orf44	False
C19orf47	False
C19orf48	False
C19orf53	
C19orf54	False
C19orf71	False
C19orf73	False
C1D	False
C1GALT1	False
C1GALT1C1	False
C1QA	False
C1QBP	False
C1QC	False
C1QL4	False
C1QTNF1	
C1QTNF6	False
C1R	False
C1RL	False
C1S	False
C1orf100	
C1orf109	False
C1orf112	False
C1orf115	False
C1orf116	False
C1orf131	False
C1orf159	
C1orf174	False
C1orf198	False
C1orf216	False
C1orf220	False
C1orf226	False
C1orf35	False
C1orf43	False
C1orf50	False
C1orf52	False
C1orf74	False
C1orf94	False
C2	False
C20orf141	False
C20orf144	False
C20orf203	False
C20orf204	False
C20orf27	False
C21orf58	False
C21orf62-AS1	False
C21orf91	False
C22orf31	False
C22orf39	False
C2CD2	False
C2CD2L	False
C2CD3	
C2CD4A	False
C2CD5	
C2CD6	
C2orf15	False
C2orf42	False
C2orf49	False
C2orf50	False
C2orf74	False
C2orf76	False
C2orf88	False
C3	
C3orf14	False
C3orf33	False
C3orf36	False
C3orf49	False
C4A	
C4B	
C4BPA	False
C4BPB	False
C4orf17	False
C4orf19	False
C4orf33	False
C4orf46	False
C5	False
C5AR1	False
C5orf22	False
C5orf24	False
C5orf34	False
C6	False
C6orf120	False
C6orf136	
C6orf141	False
C6orf15	
C6orf223	
C6orf226	False
C6orf47	False
C6orf52	False
C6orf89	False
C7	
C7orf25	False
C7orf26	False
C7orf31	
C7orf50	False
C8A	False
C8B	False
C8G	False
C8orf33	False
C8orf44	False
C8orf48	False
C8orf74	False
C8orf86	False
C9	False
C9orf116	False
C9orf163	False
C9orf43	False
C9orf78	
C9orf85	
CA1	False
CA11	False
CA12	False
CA13	False
CA14	False
CA2	
CA3	False
CA4	
CA5A	False
CA5B	False
CA6	False
CA7	False
CA8	False
CA9	False
CAAP1	False
CAB39	False
CAB39L	False
CABIN1	
CABLES1	
CABLES2	False
CABP1	False
CABP2	False
CABP4	False
CABP5	False
CACNA1A	
CACNA1B	
CACNA1C	
CACNA1D	True
CACNA1E	
CACNA1F	
CACNA1H	
CACNA1S	
CACNB3	False
CACNB4	
CACNG2	
CACNG3	False
CACNG7	False
CACTIN	False
CACUL1	False
CACYBP	
CAD	
CADM1	False
CADM3	False
CADPS	False
CADPS2	
CAGE1	
CALB1	False
CALB2	
CALCOCO1	
CALCOCO2	False
CALCR	
CALCRL	False
CALD1	
CALHM5	False
CALM1	
CALM2	
CALM3	
CALML3	
CALML5	
CALR	True
CALR3	
CALU	False
CAMK1	False
CAMK1D	False
CAMK2A	
CAMK2B	
CAMK2D	
CAMK2G	
CAMK2N1	False
CAMK2N2	False
CAMK4	
CAMKK1	False
CAMKK2	
CAMKMT	False
CAMKV	False
CAMLG	False
CAMP	False
CAMSAP1	False
CAMTA1	True
CAMTA2	False
CAND1	False
CAND2	False
CANT1	True
CANX	
CAP1	False
CAP2	
CAPN1	False
CAPN13	False
CAPN15	False
CAPN2	False
CAPN3	
CAPN7	False
CAPNS1	False
CAPRIN1	False
CAPS2	False
CAPZA1	False
CAPZA2	False
CAPZB	False
CARD10	
CARD11	True
CARD14	
CARD19	False
CARD6	
CARD8	
CARD9	
CARF	
CARHSP1	False
CARM1	
CARMIL2	False
CARMIL3	False
CARNMT1	False
CARS1	True
CARS2	False
CARTPT	
CASC2	False
CASK	
CASKIN1	
CASKIN2	False
CASP1	
CASP10	
CASP12	False
CASP14	False
CASP2	False
CASP3	True
CASP4	False
CASP5	False
CASP6	False
CASP7	
CASP8	True
CASP8AP2	
CASP9	True
CASQ1	False
CASQ2	False
CASR	
CASS4	False
CAST	
CASTOR1	False
CASZ1	
CAT	
CATSPER1	
CATSPER2P1	False
CATSPERD	False
CATSPERG	False
CATSPERZ	False
CAV1	
CAV2	
CAV3	
CAVIN1	
CAVIN2	False
CBFA2T2	False
CBFA2T3	True
CBFB	True
CBL	True
CBLB	True
CBLC	True
CBLIF	False
CBLL1	False
CBLN2	False
CBLN3	False
CBR1	False
CBR3	False
CBS	
CBWD2	False
CBWD5	False
CBX1	False
CBX2	
CBX3	False
CBX4	
CBX5	False
CBX6	
CBX7	
CBX8	False
CBY1	False
CBY2	False
CBY3	False
CC2D1A	
CC2D1B	False
CCAR1	
CCAR2	
CCBE1	False
CCDC102A	
CCDC103	False
CCDC106	False
CCDC107	
CCDC112	False
CCDC113	False
CCDC115	False
CCDC116	False
CCDC117	False
CCDC12	False
CCDC120	
CCDC122	
CCDC124	
CCDC126	False
CCDC127	False
CCDC134	False
CCDC136	False
CCDC137	False
CCDC14	False
CCDC140	False
CCDC141	False
CCDC142	False
CCDC144A	False
CCDC144B	False
CCDC144CP	False
CCDC144NL	False
CCDC146	False
CCDC149	False
CCDC150	False
CCDC158	False
CCDC159	False
CCDC163	False
CCDC167	False
CCDC17	False
CCDC174	False
CCDC175	False
CCDC183	False
CCDC185	False
CCDC186	False
CCDC191	False
CCDC197	False
CCDC25	False
CCDC32	False
CCDC33	False
CCDC34	False
CCDC38	
CCDC40	
CCDC42	False
CCDC43	False
CCDC47	False
CCDC50	False
CCDC51	False
CCDC57	False
CCDC59	False
CCDC6	True
CCDC61	
CCDC66	
CCDC69	False
CCDC7	False
CCDC70	False
CCDC71	False
CCDC71L	False
CCDC77	
CCDC80	False
CCDC82	False
CCDC83	False
CCDC85A	False
CCDC85B	False
CCDC85C	False
CCDC86	False
CCDC87	False
CCDC88A	
CCDC88B	False
CCDC9	
CCDC90B	False
CCDC91	False
CCDC92	False
CCDC97	False
CCER1	
CCHCR1	
CCK	
CCKAR	False
CCKBR	
CCL1	False
CCL11	False
CCL13	False
CCL14	False
CCL16	False
CCL17	False
CCL18	False
CCL19	False
CCL2	False
CCL20	False
CCL21	False
CCL22	False
CCL23	False
CCL25	False
CCL27	False
CCL28	False
CCL3	
CCL3L1	False
CCL4	False
CCL5	False
CCL7	
CCL8	False
CCM2	
CCN1	
CCN2	
CCN3	
CCN4	False
CCN5	
CCNA1	
CCNA2	
CCNB1	
CCNB1IP1	True
CCNB2	
CCNB3	True
CCNC	True
CCND1	True
CCND2	True
CCND3	True
CCNDBP1	False
CCNE1	True
CCNE2	
CCNF	
CCNG1	
CCNG2	False
CCNH	
CCNI	
CCNJ	False
CCNK	False
CCNL1	
CCNL2	False
CCNO	False
CCNP	False
CCNQ	True
CCNT1	
CCNT2	
CCNYL1	False
CCP110	
CCR1	
CCR10	False
CCR3	False
CCR4	True
CCR5	
CCR6	False
CCR7	True
CCR9	
CCRL2	False
CCS	False
CCSER2	False
CCT2	False
CCT3	False
CCT4	False
CCT5	
CCT6A	False
CCT6B	
CCT6P1	False
CCT7	False
CCT8	False
CCZ1	False
CCZ1B	False
CD101	False
CD109	
CD14	
CD151	
CD163	False
CD164	False
CD177	False
CD180	False
CD19	
CD1D	
CD2	
CD200	
CD200R1	False
CD209	True
CD22	
